year;city;avg_temp
1876;Milan;6.65
1877;Rome;11.81
1877;Milan;6.79
1878;Milan;6.42
1878;Rome;11.81
1879;Milan;5.91
1879;Rome;11.42
1880;Rome;11.98
1880;Milan;6.97
1881;Milan;6.47
1881;Rome;11.76
1882;Milan;6.78
1882;Rome;12.18
1883;Milan;6.05
1883;Rome;11.24
1884;Milan;6.59
1884;Rome;11.29
1885;Rome;11.97
1885;Milan;6.56
1886;Rome;11.90
1886;Milan;6.55
1887;Rome;11.53
1887;Milan;5.64
1888;Milan;5.79
1888;Rome;11.29
1889;Milan;5.81
1889;Rome;11.28
1890;Rome;11.20
1890;Milan;5.92
1891;Rome;11.23
1891;Milan;5.92
1892;Milan;6.50
1892;Rome;11.87
1893;Milan;6.82
1893;Rome;11.75
1894;Milan;6.69
1894;Rome;11.77
1895;Milan;6.19
1895;Rome;11.63
1896;Rome;11.17
1896;Milan;5.97
1897;Rome;11.90
1897;Milan;7.04
1898;Rome;12.35
1898;Milan;7.36
1899;Rome;11.87
1899;Milan;7.24
1900;Rome;12.16
1900;Milan;7.13
1901;Milan;6.04
1901;Rome;11.44
1902;Milan;6.52
1902;Rome;11.73
1903;Rome;11.76
1903;Milan;6.55
1904;Rome;12.16
1904;Milan;7.27
1905;Rome;11.44
1905;Milan;6.27
1906;Milan;6.72
1906;Rome;11.44
1907;Rome;11.61
1907;Milan;6.68
1908;Rome;11.40
1908;Milan;6.52
1909;Milan;6.12
1909;Rome;11.35
1910;Rome;11.59
1910;Milan;6.42
1911;Rome;12.03
1911;Milan;7.28
1912;Milan;6.22
1912;Rome;11.43
1913;Milan;6.67
1913;Rome;11.80
1914;Rome;11.48
1914;Milan;6.55
1915;Rome;11.66
1915;Milan;6.30
1916;Rome;12.27
1916;Milan;6.64
1917;Milan;5.97
1917;Rome;11.58
1918;Rome;11.53
1918;Milan;6.58
1919;Milan;6.20
1919;Rome;11.39
1920;Rome;12.61
1920;Milan;7.46
1921;Milan;7.61
1921;Rome;12.11
1922;Rome;11.79
1922;Milan;6.38
1923;Milan;7.10
1923;Rome;12.32
1924;Rome;11.94
1924;Milan;6.69
1925;Rome;11.85
1925;Milan;6.51
1926;Rome;12.42
1926;Milan;7.18
1927;Milan;7.18
1927;Rome;12.79
1928;Milan;7.32
1928;Rome;12.48
1929;Milan;6.61
1929;Rome;11.70
1930;Milan;7.17
1930;Rome;12.59
1931;Rome;12.01
1931;Milan;6.39
1932;Milan;6.58
1932;Rome;11.87
1933;Milan;6.40
1933;Rome;11.61
1934;Rome;12.56
1934;Milan;7.47
1935;Milan;6.71
1935;Rome;12.09
1936;Rome;12.26
1936;Milan;6.92
1937;Rome;12.45
1937;Milan;7.07
1938;Rome;11.89
1938;Milan;6.94
1939;Rome;11.95
1939;Milan;6.50
1940;Milan;5.95
1940;Rome;11.05
1941;Milan;6.01
1941;Rome;11.18
1942;Rome;12.04
1942;Milan;6.84
1943;Milan;7.77
1943;Rome;12.99
1944;Rome;11.78
1944;Milan;6.54
1945;Rome;12.48
1945;Milan;7.55
1946;Rome;12.55
1946;Milan;7.18
1947;Milan;7.68
1947;Rome;12.87
1948;Rome;12.34
1948;Milan;7.55
1949;Rome;12.51
1949;Milan;7.83
1950;Milan;7.63
1950;Rome;13.09
1951;Milan;7.10
1951;Rome;12.66
1952;Rome;12.61
1952;Milan;6.94
1953;Milan;7.41
1953;Rome;12.16
1954;Milan;6.52
1954;Rome;11.65
1955;Milan;6.99
1955;Rome;12.22
1956;Milan;5.88
1956;Rome;11.25
1957;Milan;7.14
1957;Rome;12.27
1958;Milan;7.21
1958;Rome;12.42
1959;Rome;12.24
1959;Milan;7.61
1960;Rome;12.39
1960;Milan;6.87
1961;Milan;7.90
1961;Rome;12.75
1962;Milan;6.57
1962;Rome;11.92
1963;Milan;6.27
1963;Rome;12.04
1964;Milan;7.31
1964;Rome;12.18
1965;Rome;11.77
1965;Milan;6.32
1966;Rome;12.24
1966;Milan;7.18
1967;Rome;12.44
1967;Milan;7.26
1968;Milan;6.89
1968;Rome;12.08
1969;Milan;6.55
1969;Rome;11.92
1970;Milan;6.63
1970;Rome;12.22
1971;Milan;7.15
1971;Rome;11.90
1972;Milan;6.73
1972;Rome;11.95
1973;Milan;6.91
1973;Rome;11.91
1974;Milan;7.14
1974;Rome;11.94
1975;Rome;12.06
1975;Milan;7.26
1976;Rome;11.57
1976;Milan;7.08
1977;Rome;12.26
1977;Milan;6.85
1978;Milan;6.43
1978;Rome;11.51
1979;Milan;6.87
1979;Rome;12.14
1980;Rome;11.29
1980;Milan;6.43
1981;Rome;12.03
1981;Milan;6.95
1982;Milan;7.49
1982;Rome;12.74
1983;Rome;12.30
1983;Milan;7.49
1984;Rome;11.60
1984;Milan;6.49
1985;Rome;12.43
1985;Milan;6.87
1986;Milan;7.12
1986;Rome;12.26
1987;Rome;12.44
1987;Milan;7.19
1988;Rome;12.72
1988;Milan;7.65
1989;Milan;7.86
1989;Rome;12.39
1990;Milan;7.97
1990;Rome;12.83
1991;Milan;7.28
1991;Rome;12.05
1992;Rome;12.89
1992;Milan;7.76
1993;Rome;12.71
1993;Milan;7.43
1994;Rome;13.53
1994;Milan;8.39
1995;Milan;7.43
1995;Rome;12.47
1996;Rome;12.28
1996;Milan;7.06
1997;Rome;13.13
1997;Milan;8.18
1998;Milan;7.77
1998;Rome;12.96
1999;Rome;12.95
1999;Milan;7.64
2000;Milan;8.13
2000;Rome;13.42
2001;Milan;7.83
2001;Rome;13.23
2002;Rome;13.14
2002;Milan;8.15
2003;Rome;13.62
2003;Milan;8.55
2004;Milan;7.74
2004;Rome;12.75
2005;Milan;7.33
2005;Rome;12.16
2006;Milan;8.15
2006;Rome;12.87
2007;Rome;13.32
2007;Milan;8.40
